field,dap,antarctica21,source_scope,notes
role,"Air/logistics operator; passenger, cargo, EMS, helicopter, maritime and land logistics; also sells Full Day Antarctica","Expedition operator focused on Antarctic air-cruise / fly-and-cruise products",first_party_commercial,"Do not treat roles as equivalent"
primary_gateway,"Punta Arenas","Punta Arenas",first_party_commercial,"Both reinforce Punta Arenas as a current Chilean Antarctic gateway"
antarctic_air_sector,"Punta Arenas ↔ King George Island","Punta Arenas ↔ King George Island",first_party_commercial,"A21 combines the flight with expedition vessel operations"
flight_duration,"Approx. 2 h on Antarctic BAe configuration; logistics brochure also states 2 h for BAe/RJ","Approx. 2 h",first_party_commercial,"Weather dependent"
flight_aircraft,"BAe 146-200 / RJ100; King Air 300; helicopters AS355 F2 and BO-105 listed for logistics","Aircraft used for air-cruise sector; brochure describes the Punta Arenas–King George Island flight, but exact aircraft normalization should be tied to the aircraft section before canonicalizing type",first_party_commercial,"Avoid inferring aircraft type from DAP even if A21 uses contracted aviation"
passenger_capacity,"BAe Antarctic configuration: 70 passengers in 2026 briefing; logistics brochure lists BAe/RJ fleet capacity 72 pax","Expedition ships maximum 76 guests; air sector carries expedition guests",first_party_commercial,"Different capacity concepts"
cargo_capacity,"BAe/RJ max cargo 7,200 kg; King Air 300 max 960 kg","Not normalized from current brochure excerpt",first_party_commercial,"DAP is the stronger logistics source"
maritime_assets,"Betanzos heavy-duty vessel; Zodiac MK5; technical landings/logistics support","Magellan Explorer and Magellan Discoverer expedition ships",first_party_commercial,"Different purposes: logistics support vs expedition cruising"
land_assets,"Hagglunds; trucks; snowmobiles; ice-camp setup on King George Island","Not a core standalone logistics offer in the brochure",first_party_commercial,"A21 shore activities are expedition operations, not general logistics services"
medical_evacuation,"King Air 300 used for emergency medical transport missions; EMS from Antarctica to Punta Arenas, combining helicopter and airplane when required","Contingency planning exists for expedition operations; no standalone EMS service normalized here",first_party_commercial,"DAP is operationally relevant to SAR/medevac layer"
tourism_product,"Full Day Antarctica","Multi-day Antarctic Air-Cruises",first_party_commercial,"Distinct customer propositions"
full_day_duration,"Approx. 5 hours on King George Island plus outbound/return flights","Not applicable",first_party_commercial,"DAP program subject to weather and staff decisions"
multiday_duration,"Not normalized as core product in current DAP sources","Classic 8d/7n; Polar Circle 10d/9n; Antarctica & South Georgia 18d/17n; Antarctica Express 6d/5n",first_party_commercial,"Season 2027–28"
season,"2026–2027","2027–2028",first_party_commercial,"Use freshness metadata in any user-facing answer"
starting_or_listed_price_usd,"Full Day: 7,060 per person, air fee included","Classic: from 15,995; Polar Circle: from 24,995; Antarctica & South Georgia: from 17,995; Antarctica Express: from 5,995",first_party_commercial,"Prices are season-bound, not evergreen"
weather_dependency,"Explicit; flight/program may be postponed or modified; captain makes final flight decision based on DGAC Antarctic meteorological reports","Explicit operational dependence on Antarctic weather; brochure emphasizes optimized flight windows and contingency planning",first_party_commercial,"Both should be tagged weather_sensitive=true"
pretrip_base,"Punta Arenas hotel/transfer package included in Full Day source","Explorers House in Punta Arenas for briefings/welcome preparation",first_party_commercial,"Useful gateway-economy relationship"
IAATO,"Not established in the currently normalized DAP source set","Antarctica21 states it is an IAATO member",first_party_commercial,"Do not infer DAP membership without a current source"
sustainability_claims,"Visitor guidelines and Antarctic Treaty information included in briefing; logistics brochure makes environmental language claims","IAATO member; brochure states CarbonNeutral certified and includes responsible-tourism/sustainability sections",first_party_commercial,"Treat operator sustainability language as first-party claims and cross-check independently for consequential use"
key_projects,"Antarctica Begins; Observatorio; Travel Assistant; Radar","Antarctica Begins; Travel Assistant; Radar; Observatorio",internal_routing,"Use common schema but preserve operator role differences"
